pitch_mean,pitch_std,rms_mean,zcr_mean,tempo,spectral_centroid_mean,spectral_rolloff_mean,chroma_mean,mfcc_1_mean,mfcc_1_std,delta_mfcc_1_mean,delta_mfcc_1_std,delta2_mfcc_1_mean,delta2_mfcc_1_std,mfcc_2_mean,mfcc_2_std,delta_mfcc_2_mean,delta_mfcc_2_std,delta2_mfcc_2_mean,delta2_mfcc_2_std,mfcc_3_mean,mfcc_3_std,delta_mfcc_3_mean,delta_mfcc_3_std,delta2_mfcc_3_mean,delta2_mfcc_3_std,mfcc_4_mean,mfcc_4_std,delta_mfcc_4_mean,delta_mfcc_4_std,delta2_mfcc_4_mean,delta2_mfcc_4_std,mfcc_5_mean,mfcc_5_std,delta_mfcc_5_mean,delta_mfcc_5_std,delta2_mfcc_5_mean,delta2_mfcc_5_std,mfcc_6_mean,mfcc_6_std,delta_mfcc_6_mean,delta_mfcc_6_std,delta2_mfcc_6_mean,delta2_mfcc_6_std,mfcc_7_mean,mfcc_7_std,delta_mfcc_7_mean,delta_mfcc_7_std,delta2_mfcc_7_mean,delta2_mfcc_7_std,mfcc_8_mean,mfcc_8_std,delta_mfcc_8_mean,delta_mfcc_8_std,delta2_mfcc_8_mean,delta2_mfcc_8_std,mfcc_9_mean,mfcc_9_std,delta_mfcc_9_mean,delta_mfcc_9_std,delta2_mfcc_9_mean,delta2_mfcc_9_std,mfcc_10_mean,mfcc_10_std,delta_mfcc_10_mean,delta_mfcc_10_std,delta2_mfcc_10_mean,delta2_mfcc_10_std,mfcc_11_mean,mfcc_11_std,delta_mfcc_11_mean,delta_mfcc_11_std,delta2_mfcc_11_mean,delta2_mfcc_11_std,mfcc_12_mean,mfcc_12_std,delta_mfcc_12_mean,delta_mfcc_12_std,delta2_mfcc_12_mean,delta2_mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_13_mean,delta_mfcc_13_std,delta2_mfcc_13_mean,delta2_mfcc_13_std,emotion
505.5166194504752,397.94942944582203,0.0023335363,0.38467641977163464,156.25,3176.4584206448108,5493.314302884615,0.36827165,-690.5855,200.28394,-0.008819067,18.111483,-0.029950399,6.44654,49.9588,64.816765,-0.017699562,7.212616,0.009310796,3.7150257,4.934375,24.382278,-0.0113627175,3.996944,-0.04214475,2.522778,14.656477,23.895262,-0.016570907,4.613602,0.009203764,2.6225586,7.582085,16.064667,-0.009550782,3.4843433,-0.040838495,2.3105533,-2.1469438,12.332398,-0.015479748,2.0214925,0.009491792,1.3817633,0.03972723,15.35839,-0.00677802,2.6767495,-0.038727663,1.3992543,-10.335815,17.489641,-0.012989796,1.8351705,0.009375966,1.0215267,-3.5894194,14.652136,-0.0027758824,1.5141283,-0.036202047,0.819056,2.243458,8.897352,-0.0102575375,2.2254753,0.009272356,1.3572373,-0.83444875,12.913149,0.0005257313,1.9886845,-0.03266426,1.1126335,2.6144795,8.704949,-0.007627047,1.7546662,0.009195965,1.1405535,-2.2279336,11.748487,0.004036919,1.2567302,-0.028921662,0.82859993,neutral
143.7762679401646,44.92619593051105,0.0025108596,0.3896298363095238,150.0,3037.214341397921,5386.011904761905,0.37464732,-680.4269,196.48221,0.010801036,16.041323,-0.012845672,7.6613655,48.517105,60.19331,-0.005056457,6.4913306,-0.010671683,3.4018888,2.281776,20.815685,0.014523206,3.3134472,-0.018107349,2.5271103,19.158354,22.338732,-0.005374945,3.7160714,-0.010315024,2.3306696,5.7290206,17.289776,0.012903525,3.7837796,-0.01746611,2.4854596,-0.7386789,12.206751,-0.005188545,2.3011909,-0.009018172,1.4482546,-1.2373422,16.12697,0.011192002,2.7161396,-0.015836364,1.3318822,-12.257838,17.157913,-0.0044205105,1.5299112,-0.006957219,1.0818485,-2.1934993,13.515037,0.0091883065,1.7098293,-0.01376744,1.0082337,2.4231946,9.099577,-0.003709323,2.2281444,-0.004929564,1.3676345,-1.1234202,12.974325,0.006783631,2.0372999,-0.011687143,1.0206261,1.7156333,8.158177,-0.0029147225,1.6474444,-0.0029285925,1.1081895,-2.5484216,12.013176,0.004868225,1.3200006,-0.009033328,0.8842093,neutral
142.00716600967536,33.28379332863696,0.0028532802,0.40863451911407767,138.8888888888889,3102.6200059526236,5483.464805825242,0.3786823,-675.612,199.47438,-0.016759355,20.246206,-0.0037665637,7.95337,51.44724,62.903366,-0.047512934,9.468207,0.015757162,3.447928,3.1385403,25.227049,-0.022405846,5.6331854,-0.005162487,3.00641,14.430123,18.74505,-0.044811547,2.9092057,0.015711512,1.7992964,3.8864481,18.64766,-0.018839944,3.8379242,-0.004638558,2.091087,-0.04400742,12.737524,-0.04000445,2.3919039,0.01569371,1.401095,-3.1738598,17.262264,-0.013783418,2.7363436,-0.0037145186,1.5827249,-10.518209,16.203632,-0.0339772,1.7929546,0.01574863,0.8644705,-4.815562,14.950322,-0.008117759,2.235222,-0.0024610446,1.0576012,1.6516384,10.012142,-0.027574128,2.237151,0.015781822,1.5293562,-1.1643658,10.98136,-0.0025938053,1.6253055,-0.0011289249,0.9811023,2.4059422,9.870686,-0.021497458,2.2414246,0.015540309,1.1737947,-3.3311272,11.145888,0.0021471118,1.3332188,-0.00010207943,0.68410385,neutral
139.23876817121982,37.69620770803105,0.002666796,0.3981591796875,133.92857142857144,2975.9450981609343,5438.515625,0.44094697,-672.2058,194.11493,-0.09998367,20.593517,-0.012178673,8.557111,50.859882,59.007854,-0.06201044,8.584979,-0.003550724,3.316268,4.30985,23.30596,0.05240607,5.243613,-0.022208983,3.0073195,14.452494,20.830658,0.0038580177,3.1171088,-0.001586698,1.9458389,5.6831484,16.222324,-0.020336336,3.4115577,0.0047143362,1.9803308,1.8829132,10.812121,-0.0016788283,2.1874285,0.009927868,1.444047,-5.2404704,17.635218,0.10614193,2.6263294,-0.0064364243,1.6829804,-11.250755,14.859674,0.067975424,1.8708209,0.008231328,1.0883557,-4.7463827,13.815161,-0.0042686057,2.2081704,-0.006236577,1.129898,2.119949,8.723832,-0.0094556045,1.8068728,0.001327379,1.2900766,-0.5325234,10.508375,0.047857113,1.4404699,-0.021224637,0.98513,1.0682456,7.219354,0.0045817588,1.4665853,-0.015558295,0.9075328,-2.9156551,11.445798,-0.012367091,1.5065652,-0.011580963,0.77747196,neutral
413.46722377953796,394.4866522951978,0.0017103401,0.37338999155405406,144.23076923076923,3022.119179999631,5294.904279279279,0.34570694,-704.7171,186.84892,-0.05317918,17.346243,0.0020322134,6.7519293,55.108395,61.973248,-0.04413479,6.6250453,0.015530841,4.793533,8.766962,25.290216,-0.06489057,5.037879,0.002565494,3.0795307,16.085072,22.82069,-0.036162972,4.403815,0.014829585,2.494862,9.048755,18.22614,-0.04782105,3.8107538,0.0025204625,2.1090152,-1.2452637,11.577017,-0.030501783,2.307552,0.013194247,1.5288664,-0.79267925,16.68183,-0.02975687,2.5931575,0.0026972399,1.4159044,-8.950837,12.856239,-0.025315776,1.6702614,0.012190077,1.155834,-4.6129904,15.537986,-0.010214083,1.8569957,0.0030340434,1.0687792,1.850139,11.271461,-0.014914006,2.633388,0.008811279,1.4722247,-0.99881953,12.809569,0.007144921,2.0105166,0.0017553703,0.9973312,1.0667661,7.475373,-0.00953362,1.6501989,0.007073989,1.0923271,-2.1271157,12.206374,0.015619586,1.7144855,0.0025250828,0.92432094,calm
405.05118507147216,378.2776926950517,0.0018150549,0.34463581996681414,110.29411764705881,2910.0307232794166,5060.080199115044,0.3586395,-691.7866,179.19762,0.005761163,18.638464,0.002510431,7.8693438,62.128227,66.06623,-0.017962998,6.740797,-0.0018347206,4.983176,4.3791237,25.189913,0.008329365,5.127356,0.003552904,3.616892,15.114259,20.708385,-0.017235832,4.1231465,-0.0011844017,2.2674723,9.473481,16.989782,0.0087928595,3.7511015,0.0035383701,2.169275,-1.9970255,10.346978,-0.015920915,2.0727925,1.5249822e-05,1.3930997,-2.6920488,16.556452,0.009319221,2.3985884,0.0034397717,1.1241361,-7.4997845,12.71013,-0.014261389,1.8899571,0.0015828529,1.2746679,-4.454854,14.78775,0.0096097095,2.0548332,0.0031729497,1.281356,2.7162411,9.514221,-0.012540816,2.2818274,0.003291878,1.2710409,-0.1307695,12.349128,0.009370907,2.2323236,0.002664707,1.0155886,0.4699275,6.78174,-0.011009734,1.3075218,0.004914256,0.90106964,-2.4073806,11.875131,0.008398927,1.6070966,0.0018834847,1.0706414,calm
406.4472014629088,404.83387115637373,0.0026469908,0.3835804332386364,152.02702702702706,2989.881362065821,5159.659090909091,0.36741346,-682.77795,206.90839,0.023810538,19.496883,0.011939861,8.1126375,57.32895,67.614334,-0.0025363162,9.910055,0.021489657,4.6785884,6.606791,31.468737,0.019541593,6.2849097,0.006323483,3.6438146,13.655479,21.079325,-0.0109405825,3.8498967,0.016467294,2.3504875,7.7108455,19.093586,0.014267577,3.7978876,0.006622055,2.044431,1.5220745,11.945795,-0.007116049,2.284053,0.022742217,1.4420606,-1.292297,19.17708,0.011756044,3.193989,0.009000866,1.6312793,-8.920944,14.070801,-0.0122996485,2.0579424,0.01912499,1.5617028,-3.779716,15.9638,0.0036867098,2.0378842,0.004329295,1.1597954,2.4763432,12.067071,-0.009811606,2.4628694,0.020915285,1.363487,1.2295846,11.228679,0.010898112,1.9361523,0.0117016435,1.0585688,0.67690504,6.846517,-0.002218785,1.4846641,0.026186673,0.8596294,-2.1916687,12.971498,0.009516361,1.7375466,0.00934238,0.8754033,calm
133.0757532878955,30.69774830720445,0.0027043093,0.40198537844036697,144.23076923076925,2932.3230562327867,5161.123853211009,0.36070475,-680.936,204.28436,-0.0029817284,20.197914,-0.028044216,8.267654,61.04052,67.14738,0.008947798,9.483267,-0.011655957,3.9819772,4.4171267,28.394571,0.0098847775,5.5225735,-0.02103671,2.8781424,14.820062,19.428513,0.020433271,3.5611393,0.0067188637,2.1877217,7.7456737,16.470564,0.008134215,3.1308763,-0.01790931,1.7406056,0.5268769,9.768055,0.005746583,2.0654192,-0.0030656112,1.2271817,-2.012679,18.572737,-0.0023480216,2.8577008,-0.022889541,1.5202823,-9.609191,12.750915,0.0055870824,1.6443404,0.005901071,1.3062176,-3.6547773,14.869674,0.0036166173,1.9836338,-0.0061406484,0.97340083,0.61511016,11.399508,0.0050853435,2.702128,0.01614808,1.4955038,0.9635819,10.610728,-0.0058845286,1.7999946,-0.007282013,0.941162,0.99659675,7.7148337,-0.008500474,1.395617,0.009701473,0.77030545,-2.1670177,12.210639,-0.0119235255,1.6777775,-0.0072367443,0.7793699,calm
501.9897476871085,422.4529772129941,0.0015415929,0.31737018453663796,122.28260869565219,2852.5839435016383,4964.84375,0.3845078,-710.125,191.58588,0.060479,17.9479,0.043760117,7.1967897,63.90119,64.57025,0.007833637,6.451251,0.027513916,4.0904303,11.1249075,24.954487,0.058217574,4.6481447,0.039421625,3.253684,15.750794,22.708698,-0.0019802023,4.384573,0.016781734,2.2364867,11.448448,19.249702,0.035225153,3.9971538,0.018965252,2.1239083,-1.7685802,10.229807,0.0038612753,2.2669086,0.009286502,1.5507796,0.15707904,17.99106,0.016276158,2.4940608,-0.007956946,1.1605132,-5.5347257,8.795669,0.0052043446,1.1281731,-0.009624288,0.93730587,-3.2440083,16.161043,0.0063441508,1.9391636,-0.020842418,1.037503,2.5329168,10.599249,0.013152443,2.3767664,-0.014648705,1.2834711,2.9119859,10.780975,0.0005090437,1.7748994,-0.020711808,0.8045145,-0.3074979,6.0368924,0.013269778,1.0309763,-0.01965489,0.7490956,-1.440729,10.995578,0.0029822793,1.3552537,-0.007597685,1.0275918,calm
398.4832704985427,377.83073322774544,0.0016508083,0.35607328869047616,104.16666666666667,2910.269081121134,4930.369543650793,0.38230938,-675.15,174.0577,0.006089353,16.216589,-0.003266537,6.8547087,60.21568,66.28546,-0.01183256,9.663295,0.0026225415,5.5462174,2.338703,24.648863,0.008605827,5.0135956,-0.004662185,3.0721338,14.237082,19.10738,-0.01151548,3.993427,0.0026388527,2.275158,5.939858,18.499958,0.008579873,4.048105,-0.0047904393,2.2140472,-1.7449062,10.904706,-0.010921085,2.297922,0.0026600766,1.5639396,-4.6459136,17.688612,0.008512819,2.964425,-0.0050021606,1.710781,-7.5713415,11.604545,-0.0101229455,2.060836,0.0026649411,1.1598076,-4.718416,14.412078,0.008374483,1.8607883,-0.005293441,1.1631291,3.429551,11.594477,-0.009217499,2.3808231,0.002625568,1.2161334,0.83633274,11.665599,0.008132397,1.9551934,-0.0056569283,1.0547309,-1.121243,5.667991,-0.008310127,1.1369224,0.0025120263,0.79419637,-2.6457372,11.538951,0.0077585545,1.816568,-0.006080086,0.97929114,calm
