pitch_mean,pitch_std,energy_mean,zcr_mean,spectral_centroid_mean,spectral_rolloff_mean,chroma_mean,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
66.2870004581883,1.663799325978273,0.0021197072,0.05047568044354839,7416.297747905874,13285.735887096775,0.63309145,-726.2172,157.85083,68.54142,84.219345,3.2933977,20.393255,12.2053,21.084995,5.5102777,13.634708,13.667408,19.163044,-2.9838283,14.063682,3.0980291,8.619501,-3.3108134,10.998985,-1.5643841,8.34863,-7.8616524,12.845315,-2.1242816,7.7088737,2.849204,8.651435
67.04930454758136,3.601946872066996,0.0022580326,0.05290441543530351,7135.571471113649,13191.64337060703,0.629568,-719.1283,159.356,70.20157,78.61282,1.168397,23.06335,13.122543,18.9968,7.83695,12.449026,14.41129,19.218317,-4.1113596,14.516836,4.468973,8.05733,-3.5393667,11.5094185,-3.6586075,8.151206,-7.648504,12.590632,-1.4770775,7.271216,3.031821,8.202284
67.01196157318596,3.88298473488629,0.0027071815,0.04662688314332247,7239.2656482489965,13279.1378257329,0.6199844,-714.9957,162.87424,69.68935,85.796005,3.9245636,17.979307,11.92419,24.541765,6.4217234,10.203608,11.011614,16.11514,-2.8781035,15.47213,4.5095577,9.876256,-4.476109,11.993234,-2.6715493,8.232803,-7.4992833,13.146093,-2.9622657,7.749167,1.8734846,8.564484
67.34807998219506,4.219508218899478,0.0025207684,0.05383546560402685,7008.958169433834,13272.074244966443,0.6126071,-710.9753,161.77583,67.56489,78.59396,5.7822413,20.279503,13.230726,24.528292,6.1908455,11.280048,12.628252,16.704357,-1.6751693,13.141413,5.6574936,8.686153,-4.9506335,12.079803,-3.4775455,9.627914,-7.416558,12.1446,-1.9370041,7.221593,2.2715254,7.5908246
66.99852757090245,2.4481024406075904,0.0015786955,0.04592932275978916,6997.31180981541,12649.543486445784,0.6082433,-759.92175,162.98659,75.78352,78.56628,6.0236053,23.16162,14.557394,23.70345,6.4541883,13.6764,14.631508,18.99056,-3.0045512,14.327635,4.6209702,9.515069,-5.200015,11.674164,-0.70743,7.7869697,-7.790287,11.382717,-3.5649483,7.8706527,2.18097,9.36486
67.57451828998053,2.8967217576096727,0.0016762057,0.03303843842455621,6874.560406643111,12202.82451923077,0.6440443,-735.0066,146.57507,79.09305,81.97409,8.141051,23.45763,11.413549,24.758772,5.174124,12.365225,15.393285,19.791836,-2.7520719,12.571643,2.9645836,7.618043,-5.388972,11.941264,-1.6918324,6.54375,-5.8528347,9.744221,-4.0432878,8.198055,3.0046408,9.210759
67.19037244913822,2.777968694622398,0.0025555012,0.045950382313829786,6853.974883221673,12272.273936170213,0.62399995,-733.5249,179.0864,81.58986,89.545616,4.8633575,22.673977,14.423686,26.31153,5.2676888,12.809231,13.96856,18.270678,-3.0856166,15.189873,7.1732454,10.292573,-4.8214383,11.359607,-0.9674488,8.375089,-6.2504735,12.630485,-3.8666399,8.374072,3.3255188,10.404875
68.12434304285622,3.8996443630795024,0.0026076469,0.04764336896088957,6798.674100010185,12309.504409509202,0.61212975,-728.363,175.01202,82.324936,88.63849,7.5005765,20.165997,12.542465,24.356995,6.788125,10.549805,14.805659,17.106565,-2.9095807,13.235973,6.937839,9.132057,-4.84434,11.831189,-1.8469232,8.109428,-5.6877103,11.342878,-3.6666534,8.252149,2.2403512,9.305952
66.71552508398783,3.0314139142044,0.0014528487,0.03624225484913793,6773.71236908055,12030.037715517241,0.6458597,-771.62524,177.1252,83.32755,81.09256,9.759607,21.527704,14.268048,24.60837,6.201727,12.705014,16.020977,19.92514,-2.8468976,13.995504,4.47025,8.732266,-5.536262,11.85542,0.8787948,6.50108,-5.3482485,9.354109,-3.0295565,8.118746,2.3405735,9.082781
66.16745722139123,2.675233089513201,0.0015512242,0.04488291638962766,6517.976565172378,11717.44099069149,0.6053126,-733.9896,157.95195,82.99157,80.36831,3.796794,24.129759,13.411559,24.613008,3.1084962,12.357739,16.039553,19.80143,-5.652945,15.008393,5.5606713,10.417045,-7.840987,13.334312,-1.1772103,6.791926,-5.7287865,9.359659,-4.109694,9.152854,3.8823817,9.822521
